org,date,position_summary,quote,doc_url,source_page
City of Phoenix,2024-05-08,"City of Phoenix asks Reclamation to adopt ""top storage"" reservoir storage accounts (replacing/expanding ICS), allow movable top storage between Lakes Mead and Powell, broaden transactional flexibility (expanded conservation activities, pre-approved RSA criteria, transfers/wheeling), and use a three-pool shortage mitigation approach.","A key evolutionary step for the ICS program after 2026 would be to evolve away from the current ICS program to use reservoir storage accounts (RSAs) that are based on ""top storage,""",https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/alternatives/2024-05-08_Additional_Concepts_for_Consideration_City_of_Phoenix_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/alternatives/index.html
City of Tucson and Tucson Water,2023-12-06,"Recommends implementation of the Proposed Action (""Lower Division Proposal"") to conserve up to 3 MAF through 2026, reduce risks to Lake Powell and Lake Mead, and supports continued cooperative voluntary conservation and Bureau management actions.","Recommendation: The City of Tucson and Tucson Water recommend the implementation of the Proposed Action (""Lower Division Proposal"").",https://www.usbr.gov/ColoradoRiverBasin/documents/NearTermColoradoRiverOperations/PublicComments/Government/562_City of Tucson_Tucson Water_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/interimguidelines/seis/publicinvolvement.html
City of Yuma,2023-12-11,"Asks Reclamation to halt and reconsider support for off‑river and out‑of‑basin Colorado River water transfers, issue an injunction/stay on transfer applications until the system can meet current allocations, and ensure the RDSEIS assesses long‑term adverse impacts and protections.",Yuma urges BOR to provide an injunction to future off-river water transfers of Colorado River water and institute a stay for future water transfer applications until the Colorado River system is capable of fulfilling its current water allocation commitments in-tum.,https://www.usbr.gov/ColoradoRiverBasin/documents/NearTermColoradoRiverOperations/PublicComments/Government/317_City of Yuma_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/interimguidelines/seis/publicinvolvement.html
Colorado River Authority of Utah,2023-08-15,"Supports initiating the Post-2026 EIS under NEPA, seeks to work with Basin States on a consensus alternative, and demands substantial changes to operations including annual reductions to Lower Division State uses of at least 1.2 to 1.5 million acre-feet to address supply-demand imbalance.","In order to resolve this water balance problem, Post-2026 operations must include annual reductions to Lower Division State uses of at least 1.2 to 1.5 million acre-feet (MAF).",https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Fed-State-Local_A-F_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
"Colorado River Basin States Representatives of Arizona, California, Colorado, Nevada, New Mexico, Utah, and Wyoming",2023-08-15,"Basin States request the Secretary consult and collaborate with Governors’ Representatives from each Basin State in developing Post-2026 EIS alternatives; emphasize need for Basin States' participation and collaboration with Tribes, stakeholders, and Mexico.",the Secretary of the Interior (“Secretary”) must consult with the Governors’ Representatives from each Basin State and collaborate on the development of alternatives for the Post -2026 EIS at Lake Powell and Lake Mead.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Fed-State-Local_G-R_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
Colorado River Board of California,2020-11-10,"Requests revisions to Reclamation’s 7D Effectiveness Review: add and highlight examples of the Guidelines’ effectiveness (e.g., ~3.2 MAF conserved), clarify inclusion of Upper Basin demands and Mexico deliveries, correct Lower Basin use figures, cross‑reference ICS actions, and provide irrigated‑acreage data.",The Board recommends adding specific examples of the effectiveness from Section 7 of the draft report to strengthen the case being made in Section 8.,https://www.usbr.gov/ColoradoRiverBasin/documents/7d/7DReportcomments_CRBCA.pdf,https://www.usbr.gov/ColoradoRiverBasin/interimguidelines/7dreport/draftreport.html
Colorado River Board of California,2020-11-16,Supports the draft overall but requests clarifications and additions: highlight conserved Lower Basin water stored in Lake Mead; include Upper Basin demands and Mexico delivery; clarify Glen Canyon Dam release/powerplant limits; correct Lower Basin water-use figures; cross-reference 2017 MWD ICS modification.,The Board suggests incorporating these examples into the narrative discussion of the effectiveness in Section 8.,https://www.usbr.gov/ColoradoRiverBasin/documents/7d/7DReportcomments_CRBCA_Comment Form.pdf,https://www.usbr.gov/ColoradoRiverBasin/interimguidelines/7dreport/draftreport.html
COLORADO RIVER COMMISSION OF NEVADA,2023-08-15,"Requests Reclamation protect Nevada’s 300,000 acre-feet allocation and Southern Nevada’s water supply as it develops Post-2026 operations, and submits comments for the EIS.","The CRCNV is the state agency responsible for protecting Nevada’s annual 300,000 acre-feet allocation from the Colorado River.",https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Fed-State-Local_A-F_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
COLORADO RIVER COMMISSION OF NEVADA,2023-12-11,"Supports Reclamation's proposed alternative (Lower Basin Proposal) and near-term actions; requests reservoir protection elevations (Lake Mead 1,000' and Lake Powell 3,500'); objects to incorporating parts of eliminated Alternatives without analysis and disputes shortage-allocation assumptions and Nevada entitlement date interpretations.",The CRCNV supports the proposed alternative's near-term actions that will reduce the risks to the Colorado River Basin.,https://www.usbr.gov/ColoradoRiverBasin/documents/NearTermColoradoRiverOperations/PublicComments/Government/301_Colorado River Committee State of Nevada_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/interimguidelines/seis/publicinvolvement.html
Colorado River Commission of Nevada (CRC),2020-11-16,"CRC supports Reclamation's evaluation and conclusions on the 2007 Guidelines and the 7D review scope; endorses stakeholder engagement. Requests Section 6 be placed in an appendix, more detailed resource analyses in future studies/renegotiations, and greater depth in Section 8.",The CRC agrees with Reclamation on the scope of the 7D review. Evaluating the purpose and theme provides sufficient evidence of the success of the Guidelines.,https://www.usbr.gov/ColoradoRiverBasin/documents/7d/7DReportcomments_CRCNV_Comment Form.pdf,https://www.usbr.gov/ColoradoRiverBasin/interimguidelines/7dreport/draftreport.html
COLORADO RIVER DISTRICT,2023-08-15,"Urges bold, meaningful post-2026 changes consistent with the Law of the River: make operations hydrology-driven, adopt depletion accounting in the Lower Basin, plan for a wide range of hydrologic futures, eliminate gameable tiers, and limit guidelines to Lakes Powell and Mead.","Hydrology, not reservoir levels, must drive post 2026 operations.",https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Fed-State-Local_A-F_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
Colorado River Energy Distributors Association (CREDA),2020-11-16,"Requests that hydropower be added to the Report's operational topics and Appendix A and that projected and actual hydropower data (generation, impacts from elevations/operations) be included alongside water metrics; suggests related wording and reference edits.","CREDA restates comments submitted on April 30, 2020 that hydropower be added as one of the Operational Topics described in the 7.D. Report and included in the Appendix A.",https://www.usbr.gov/ColoradoRiverBasin/documents/7d/7DReportcomments_CREDA_Comment Form.pdf,https://www.usbr.gov/ColoradoRiverBasin/interimguidelines/7dreport/draftreport.html
Colorado River Energy Distributors Association (CREDA),2023-08-11,"Requests the Post-2026 Guidelines recognize the linked legal, economic, and management relationship between water and power, reflect statutory authorities for Glen Canyon Dam operations, and base guidelines on infrastructure and hydropower roles.",Reclamation’s projects and programs serve as the water and power infrastructure backbone of the American West…,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_A-F_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
Colorado River Energy Distributors Association (CREDA),2023-12-07,"CREDA asks Reclamation to explicitly protect CRSP/Glen Canyon hydropower purpose, analyze and mitigate hydropower and grid impacts (including use of PL 117-169 funds), clarify hydropower-prioritization alternatives, coordinate with LTEMP analyses, and include quantitative metrics, revenue tables, and rate impacts.","Reclamation is the second largest producer of hydropower in the United States, and direct and indirect impacts to all aspects of this carbon-free life-essential resource must be identified, analyzed and mitigated.",https://www.usbr.gov/ColoradoRiverBasin/documents/NearTermColoradoRiverOperations/PublicComments/Organizations/548_Colorado River Energy Distributors Association_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/interimguidelines/seis/publicinvolvement.html
